iter	MAE	RMSE
0	17250.6348	20484.31511
1	15962.35792	19113.02935
2	14770.56846	17828.48086
3	13667.82029	16630.89359
4	12647.57017	15542.21377
5	11705.45798	14569.16373
6	10834.30098	13650.36018
7	10030.32582	12790.63135
8	9287.819659	12008.40245
9	8600.003785	11280.74234
10	7971.004761	10613.84101
11	7394.891512	10004.99968
12	6865.633031	9430.034136
13	6380.50783	8916.244317
14	5932.424718	8432.994752
15	5521.867769	7987.057047
16	5151.378974	7607.808728
17	4817.05132	7272.0556
18	4512.623703	6933.727278
19	4248.228664	6626.486835
20	4001.889248	6350.930974
21	3788.19028	6106.887834
22	3595.559106	5890.884519
23	3428.224408	5698.776177
24	3283.857795	5524.749286
25	3152.961219	5377.707185
26	3034.730234	5206.258769
27	2935.039212	5077.868438
28	2840.35196	4940.817029
29	2760.788161	4827.641839
30	2687.710535	4707.073207
31	2618.924222	4597.0938
32	2560.187162	4518.611633
33	2505.775662	4435.381958
34	2460.926255	4361.773291
35	2417.22586	4277.964908
36	2377.890766	4219.883939
37	2335.019141	4140.858718
38	2300.728958	4069.948802
39	2274.263355	4020.550728
40	2250.070021	3970.563094
41	2218.827324	3897.03047
42	2195.924741	3866.82278
43	2176.848207	3824.662281
44	2159.224908	3788.513931
45	2140.553287	3760.10905
46	2124.46916	3724.772862
47	2107.998609	3700.457672
48	2092.465973	3678.495594
49	2082.578259	3657.954158
50	2066.137857	3625.023077
51	2050.665352	3590.465748
52	2038.024092	3568.653037
53	2025.750086	3542.418749
54	2016.292656	3514.040492
55	2002.931601	3487.514589
56	1995.383099	3476.059709
57	1989.598993	3457.918141
58	1980.630156	3446.583786
59	1971.65693	3431.235018
60	1964.617904	3399.499663
61	1959.029041	3390.850696
62	1950.043982	3374.981868
63	1942.337953	3362.252491
64	1936.163585	3349.179685
65	1931.034666	3335.921837
66	1922.041052	3321.330935
67	1911.863394	3302.484298
68	1903.466338	3291.081736
69	1892.921815	3274.700998
70	1885.438944	3261.250601
71	1878.854704	3245.627445
72	1870.425037	3223.97211
73	1865.193519	3214.098229
74	1857.805663	3200.415509
75	1848.635239	3180.511135
76	1841.611918	3170.125292
77	1833.332419	3156.398686
78	1826.121791	3146.844563
79	1821.351251	3137.12144
80	1813.118557	3114.375113
81	1808.070699	3110.048627
82	1803.180475	3098.38009
83	1796.559128	3090.92527
84	1790.255605	3080.002469
85	1784.240442	3074.395563
86	1779.645462	3067.536846
87	1775.088873	3061.224828
88	1769.660909	3050.559628
89	1764.821508	3037.39849
90	1759.058215	3030.497987
91	1752.238467	3021.179859
92	1746.820415	3013.824546
93	1743.89837	2997.382638
94	1741.445776	2990.006531
95	1735.887188	2982.604309
96	1730.961389	2968.588408
97	1728.090819	2962.938201
98	1724.081499	2950.401831
99	1721.913976	2944.414986
100	1716.681731	2927.821863
101	1712.207384	2920.494765
102	1708.750797	2916.749447
103	1700.980087	2899.422758
104	1696.211098	2883.947649
105	1690.021346	2874.769865
106	1686.975041	2866.025473
107	1683.128259	2860.828957
108	1680.438735	2857.847141
109	1675.00568	2844.420466
110	1671.093057	2835.912639
111	1667.213842	2828.325836
112	1660.059975	2818.615206
113	1654.106456	2810.260224
114	1650.010014	2801.08566
115	1644.708692	2791.661778
116	1639.984139	2780.808477
117	1637.652718	2777.691704
118	1633.348639	2772.964851
119	1627.662899	2765.179374
120	1621.66035	2753.845099
121	1620.38724	2751.034106
122	1617.945317	2747.430906
123	1614.221788	2742.440103
124	1612.581673	2726.720978
125	1609.357756	2717.759124
126	1603.736157	2704.527653
127	1599.743385	2698.715335
128	1597.83431	2696.093419
129	1595.652607	2690.523658
130	1593.82769	2688.951558
131	1589.662134	2677.378193
132	1585.42137	2672.314278
133	1583.606346	2654.887059
134	1580.110773	2650.037272
135	1574.99565	2637.984896
136	1571.260592	2630.10478
137	1569.102108	2625.516149
138	1564.743333	2619.282734
139	1561.068814	2605.578772
140	1558.474934	2570.391299
141	1554.6557	2563.572889
142	1552.091602	2557.863222
143	1550.696143	2554.491355
144	1547.215262	2543.832672
145	1541.977118	2536.767552
146	1539.333098	2532.766789
147	1536.820074	2528.462707
148	1534.96614	2520.759129
149	1531.909985	2489.201104
150	1527.858914	2479.634176
151	1524.276388	2472.897914
152	1521.226302	2468.09578
153	1519.21517	2464.208212
154	1515.442689	2460.023933
155	1513.683265	2458.118316
156	1511.537026	2453.884631
157	1508.725631	2445.766621
158	1506.793624	2434.075175
159	1503.371556	2428.640012
160	1500.845278	2423.279468
161	1498.699705	2417.734128
162	1497.316625	2414.392179
163	1494.824128	2408.813541
164	1492.148736	2402.697991
165	1487.831638	2394.450025
166	1485.678537	2383.924914
167	1484.245693	2375.245465
168	1482.797924	2372.962363
169	1480.080805	2366.857203
170	1478.206509	2363.009228
171	1474.955107	2358.905975
172	1471.601379	2350.627641
173	1469.488661	2347.352842
174	1467.333094	2342.589774
175	1464.91219	2336.667411
176	1463.38039	2333.419165
177	1459.251193	2328.615981
178	1456.462354	2322.937442
179	1454.065655	2318.864908
180	1450.307636	2310.552093
181	1447.763487	2307.831347
182	1445.646639	2302.142915
183	1442.732064	2298.339774
184	1441.902608	2296.504028
185	1440.151309	2292.28564
186	1438.035373	2287.357688
187	1435.312581	2284.836959
188	1433.530101	2283.033407
189	1430.399436	2279.066264
190	1427.724725	2273.28773
191	1426.651817	2271.127751
192	1424.4026	2246.123798
193	1422.069035	2242.248898
194	1420.32818	2240.483243
195	1417.85718	2236.17996
196	1415.854628	2233.783411
197	1414.769704	2230.836595
198	1411.229075	2206.917556
199	1409.403745	2203.519717
200	1407.818333	2199.601996
201	1405.339619	2194.02798
202	1403.969525	2191.059681
203	1401.560502	2187.199278
204	1399.805345	2184.782827
205	1396.055513	2180.649477
206	1394.849202	2177.858288
207	1392.152874	2172.646441
208	1390.696125	2169.465237
209	1388.215529	2166.687356
210	1385.923763	2163.072761
211	1383.285185	2157.926373
212	1381.360836	2154.14869
213	1378.399605	2151.928724
214	1377.250397	2149.646371
215	1375.799933	2147.307291
216	1373.525002	2142.494091
217	1372.024967	2139.836866
218	1369.492596	2136.709095
219	1367.842408	2132.899177
220	1366.735833	2130.651799
221	1364.524069	2128.595647
222	1362.550742	2125.977321
223	1360.110923	2122.323748
