iter	MAE	RMSE
0	17254.2391	20459.38823
1	15966.08507	19059.71769
2	14774.01571	17782.42163
3	13670.94918	16598.81063
4	12651.18454	15496.10921
5	11707.53241	14502.17388
6	10836.36391	13605.16614
7	10033.00512	12780.39357
8	9289.277302	11984.21017
9	8606.127334	11266.5191
10	7973.812991	10612.85398
11	7394.178027	9994.96891
12	6859.703968	9427.033723
13	6367.61679	8911.391253
14	5926.566152	8452.052157
15	5517.528312	8021.219336
16	5150.273951	7634.040649
17	4812.704754	7266.826571
18	4508.644181	6942.043606
19	4232.184857	6632.43834
20	3996.413427	6361.804606
21	3775.611043	6110.879774
22	3581.984116	5884.674003
23	3414.17596	5678.851734
24	3265.026343	5503.526955
25	3127.986498	5331.514754
26	3010.68332	5172.608683
27	2909.683588	5037.400004
28	2815.703663	4909.172403
29	2736.009373	4789.239027
30	2660.905208	4666.883156
31	2595.815366	4551.780078
32	2543.221326	4467.503979
33	2485.096855	4380.868193
34	2438.834756	4301.947328
35	2393.211331	4231.979201
36	2348.658766	4151.379365
37	2316.886955	4090.690281
38	2283.912654	4034.937865
39	2253.273787	3981.766164
40	2227.428594	3935.868583
41	2206.805769	3897.72254
42	2181.351097	3856.000421
43	2162.826754	3808.084339
44	2147.681053	3783.052379
45	2131.213577	3754.106422
46	2114.797919	3723.954852
47	2101.372154	3699.342148
48	2088.917166	3673.444901
49	2072.963654	3646.59425
50	2067.547805	3639.69367
51	2055.815564	3624.91378
52	2045.406602	3603.214548
53	2041.72155	3599.467384
54	2031.253867	3582.653731
55	2022.52774	3562.308232
56	2016.224567	3544.559895
57	2006.977538	3532.131055
58	1992.381346	3508.627118
59	1984.233675	3492.365391
60	1978.187911	3474.291823
61	1968.636916	3456.805674
62	1959.601411	3437.173361
63	1949.67125	3413.723356
64	1943.624087	3400.098025
65	1933.012346	3382.432084
66	1925.661253	3354.634748
67	1916.87597	3334.566947
68	1911.094148	3324.736408
69	1902.061854	3298.909118
70	1894.333291	3285.199919
71	1887.519068	3274.849912
72	1880.091216	3262.230339
73	1873.522657	3249.19755
74	1868.015049	3234.923351
75	1864.213214	3226.645789
76	1855.56524	3216.480759
77	1850.260109	3203.167384
78	1845.764797	3173.697045
79	1838.788378	3162.510097
80	1832.727533	3150.534744
