iter	MAE	RMSE
0	17250.52369	20437.48635
1	15962.62993	19047.47349
2	14770.88638	17753.01775
3	13667.90704	16553.46894
4	12647.91907	15466.39607
5	11703.99488	14465.84927
6	10833.31393	13550.7765
7	10028.79683	12680.86535
8	9284.886041	11899.53563
9	8601.307881	11162.35633
10	7972.318651	10501.35176
11	7390.030834	9916.359791
12	6855.508701	9345.286299
13	6365.675128	8841.628944
14	5915.808626	8347.668805
15	5505.153361	7918.993157
16	5133.335056	7523.032374
17	4807.111709	7183.724317
18	4506.653577	6872.442328
19	4238.18874	6568.296239
20	3996.293069	6303.718182
21	3782.197819	6071.700463
22	3590.846132	5845.334919
23	3421.959983	5644.047826
24	3272.994998	5457.118585
25	3144.018388	5297.155063
26	3025.771666	5136.028372
27	2915.27105	4976.292198
28	2827.640196	4849.653806
29	2746.790371	4740.708136
30	2678.603747	4643.60021
31	2610.249745	4550.79016
32	2547.178333	4466.609095
33	2491.982912	4384.332215
34	2441.411672	4304.960323
35	2401.127347	4234.886962
36	2361.715047	4184.626524
37	2328.396458	4135.253611
38	2296.560506	4078.616729
39	2265.752474	4020.256074
40	2242.580049	3977.282845
41	2219.198711	3930.111004
42	2198.716561	3891.669983
43	2180.843601	3845.83333
44	2161.645395	3809.319354
45	2148.39002	3782.201811
46	2136.168216	3752.821828
47	2120.898668	3712.895193
48	2101.734195	3675.239308
49	2084.520229	3642.651544
50	2072.475612	3623.343498
51	2057.249614	3591.427903
52	2042.776264	3549.292802
53	2035.947394	3536.923791
54	2027.156898	3522.307393
55	2016.765301	3497.90918
56	2008.429243	3471.807248
57	1997.393009	3456.840112
58	1988.885388	3432.101214
59	1975.814801	3404.522053
60	1967.222788	3389.842499
61	1958.063113	3374.299683
62	1950.36855	3360.865228
63	1945.029969	3352.723724
64	1936.364434	3338.875318
65	1927.611861	3320.238158
66	1917.26416	3305.179919
67	1910.585294	3296.221036
68	1905.546715	3283.632288
69	1899.236931	3263.311655
70	1892.638161	3246.028244
71	1886.101318	3235.663997
72	1878.257305	3223.756253
73	1873.737479	3213.808008
74	1868.680586	3205.722179
75	1861.468985	3188.847277
76	1858.488902	3180.584525
77	1854.080166	3171.618843
78	1848.945059	3165.528438
79	1842.350171	3153.581926
80	1837.066215	3143.788505
81	1832.868429	3139.205607
82	1827.119729	3124.818255
83	1821.390698	3114.545408
84	1817.84269	3109.72555
85	1809.424258	3094.362727
86	1802.749356	3082.20754
87	1796.347203	3075.203945
88	1790.155457	3064.661266
