iter	MAE	RMSE
0	17292.7913	20510.76859
1	16001.35255	19136.7892
2	14806.66992	17849.25238
3	13701.04871	16650.4562
4	12677.88842	15562.34719
5	11732.52014	14531.8214
6	10859.51482	13588.79761
7	10053.90653	12729.02593
8	9308.303741	11935.83212
9	8618.55749	11198.5521
10	7985.473025	10519.67154
11	7401.826477	9910.131276
12	6862.949437	9355.947575
13	6367.983613	8853.563064
14	5924.673905	8400.722399
15	5515.119192	7974.485195
16	5148.891293	7622.740687
17	4816.810898	7258.973858
18	4520.316702	6935.481767
19	4249.609186	6622.618141
20	4008.400871	6356.116801
21	3791.419587	6092.945549
22	3597.588687	5874.348282
23	3430.271276	5673.989458
24	3278.375459	5473.679413
25	3143.729432	5291.667729
26	3018.103361	5109.567225
27	2913.785657	4955.798015
28	2820.994324	4826.217785
29	2737.802695	4704.566617
30	2669.72308	4590.849617
31	2600.552073	4493.556171
32	2544.59831	4394.847564
33	2493.382816	4316.632028
34	2442.192127	4254.200145
35	2394.928009	4175.737714
36	2352.539114	4110.289869
37	2318.813329	4047.862509
38	2285.133887	3988.510407
39	2255.326944	3940.049085
40	2228.028199	3890.369656
41	2202.0213	3839.276181
42	2178.78749	3797.808684
43	2154.811063	3749.564559
44	2132.39353	3714.114072
45	2116.65911	3690.096116
46	2097.828152	3650.626312
47	2080.562491	3621.501342
48	2065.541589	3601.264365
49	2054.407763	3576.223385
50	2043.342997	3555.577245
51	2029.324065	3525.643241
52	2015.253526	3498.523197
53	2001.876887	3479.465982
54	1989.681465	3445.382343
55	1979.795403	3422.234245
56	1974.188739	3407.839403
57	1966.742832	3384.011191
58	1956.620255	3357.930016
59	1946.924029	3342.979238
60	1933.743987	3320.152434
61	1924.367019	3294.265889
62	1919.115847	3283.664111
63	1912.800311	3274.563476
64	1907.051863	3259.494712
65	1900.609974	3250.530558
66	1894.898538	3243.767311
67	1887.828126	3234.083897
68	1878.54871	3219.845615
69	1871.542048	3207.5878
70	1866.316319	3193.685045
71	1863.642406	3172.759231
72	1858.365249	3160.698341
73	1850.819569	3147.482378
74	1845.406294	3139.032015
75	1838.891955	3121.529785
76	1835.296171	3107.999906
77	1832.736794	3101.529329
78	1828.100116	3094.444186
79	1824.678155	3086.964718
80	1817.84353	3078.962035
81	1812.100219	3061.738516
82	1805.596755	3047.70794
83	1798.564368	3030.129423
84	1792.765686	3014.641488
85	1788.618259	3010.047461
86	1782.481774	3002.845869
87	1776.411959	2994.900359
88	1771.233234	2984.948643
89	1765.889897	2977.620751
90	1763.068171	2969.857204
91	1756.152972	2955.998993
92	1750.446494	2943.290556
93	1746.325391	2935.369465
94	1742.001052	2928.140587
95	1738.205733	2922.831777
96	1732.012817	2910.062033
97	1728.466947	2904.909773
98	1726.092887	2902.418492
99	1721.953233	2892.893434
100	1714.575236	2881.246528
101	1709.758464	2870.230421
102	1702.537682	2853.467565
103	1697.642796	2844.429191
104	1693.0877	2836.604114
105	1687.792876	2828.301986
106	1683.203137	2820.55985
107	1677.286717	2808.089628
108	1673.08944	2798.465153
109	1669.635407	2793.519565
110	1663.589116	2787.318621
111	1658.938594	2778.456191
112	1656.512804	2775.363146
113	1652.953557	2771.290273
114	1649.900104	2765.203429
115	1644.945257	2760.59399
116	1641.07798	2751.718072
117	1634.423645	2736.022824
118	1628.384644	2727.03906
119	1627.338936	2722.398963
120	1623.565411	2683.213437
121	1618.82912	2674.583539
122	1614.996314	2667.510451
123	1610.959347	2656.396068
124	1607.430244	2650.795151
125	1602.225287	2640.692052
126	1596.760302	2634.541749
127	1591.25485	2626.831609
128	1587.625315	2618.069777
129	1584.370038	2612.009673
130	1581.914766	2593.666437
131	1578.645824	2590.305104
132	1575.302943	2581.43657
133	1570.18652	2573.288938
134	1568.123808	2567.576277
135	1564.048318	2561.158788
136	1560.594407	2553.262542
137	1558.624122	2546.616051
138	1555.109638	2539.878145
139	1551.465888	2534.036389
140	1548.745843	2527.947065
141	1547.634965	2522.213825
142	1544.263999	2516.252081
143	1540.759289	2507.791581
144	1537.84141	2503.403941
145	1534.926304	2498.252411
146	1531.015802	2494.959117
147	1527.333283	2489.030287
148	1523.068702	2480.956309
149	1520.754441	2447.227483
150	1518.570314	2441.959174
151	1515.994553	2436.515438
152	1512.499965	2431.86842
153	1510.057183	2426.501317
154	1506.446254	2419.37434
155	1504.625344	2415.791712
156	1501.673084	2413.338596
157	1498.639786	2408.864516
158	1495.366317	2400.817169
159	1493.185642	2396.97361
160	1490.599143	2391.776744
161	1488.10391	2387.137205
162	1484.783988	2383.073816
163	1481.640715	2367.235467
164	1479.339255	2363.738586
165	1477.334192	2360.854392
166	1474.462734	2354.490066
167	1470.192038	2347.862777
168	1467.750608	2342.105294
169	1465.192454	2339.740404
170	1462.689978	2326.513782
171	1458.993501	2321.017845
172	1455.891558	2315.930701
173	1454.570667	2312.640736
174	1452.636665	2309.600906
175	1450.866562	2305.040401
176	1448.244311	2302.241618
177	1445.704315	2298.462388
178	1443.817192	2294.255381
179	1440.974163	2288.426843
180	1437.262196	2284.935551
181	1434.838182	2279.704282
182	1433.512627	2276.281203
183	1432.28694	2273.934166
184	1429.092152	2270.265617
185	1426.28987	2263.989291
186	1423.602061	2258.935667
187	1422.270995	2255.93664
188	1420.702716	2244.22487
189	1418.734677	2241.237357
190	1415.346673	2237.357852
191	1412.715788	2232.634039
192	1411.070317	2222.646665
193	1409.105058	2218.548791
194	1405.982882	2215.194164
195	1404.603176	2211.663909
196	1401.850734	2209.153149
197	1400.322385	2206.517174
198	1399.306724	2203.727683
199	1397.878153	2200.987559
200	1396.331135	2198.902659
201	1394.904172	2196.957421
202	1392.808889	2193.40152
203	1390.758759	2190.102342
204	1388.757608	2186.074228
205	1386.806451	2183.132988
206	1384.915753	2180.359678
207	1381.974298	2174.732131
208	1379.219854	2169.632748
209	1378.146236	2167.94363
210	1377.077497	2165.79984
211	1375.808388	2164.257188
212	1374.188487	2159.345049
213	1371.38741	2156.084969
214	1369.726096	2152.41807
215	1368.005819	2148.89525
216	1364.596548	2144.781551
217	1362.019261	2141.144257
218	1359.379631	2137.234973
219	1358.304454	2135.535195
220	1357.05442	2132.302579
221	1355.229413	2123.469786
222	1353.900664	2121.142555
223	1352.243641	2118.010694
224	1350.97578	2114.913968
225	1349.402873	2112.065435
226	1347.616293	2109.614937
227	1345.76988	2105.958853
228	1344.048538	2102.994828
229	1341.902392	2100.538922
230	1340.594845	2098.422049
231	1338.925552	2090.560664
232	1337.862727	2088.830273
233	1335.095995	2084.389716
234	1333.597531	2062.3616
235	1332.194567	2059.880789
236	1331.547517	2058.502264
237	1329.918193	2056.070244
238	1328.909081	2050.523298
239	1326.820015	2045.152111
240	1324.508775	2042.201485
241	1323.096785	2039.002144
242	1321.276105	2036.756232
243	1320.000769	2033.818145
244	1318.711642	2031.726372
245	1317.09064	2029.533174
246	1315.754709	2027.103404
247	1312.000881	2022.98789
248	1311.026929	2021.0616
249	1309.663555	2018.395772
250	1307.941744	2016.698999
251	1306.855864	2014.868919
252	1305.440673	2003.861088
253	1303.56798	2002.065844
254	1301.45064	1998.559911
255	1300.307549	1996.941074
256	1299.345096	1994.944426
257	1297.087197	1992.183772
258	1295.150767	1989.623468
259	1293.089349	1987.061083
260	1290.907156	1983.51697
261	1290.014923	1982.160269
262	1288.888663	1980.312438
263	1287.535434	1977.177151
264	1286.38556	1975.700662
265	1284.634713	1971.526776
266	1282.955373	1968.465519
267	1280.885246	1965.946481
268	1279.586925	1963.882866
269	1278.214023	1960.578671
270	1277.431261	1959.342553
271	1276.549503	1958.160807
272	1275.267181	1956.422407
273	1274.73733	1955.651665
274	1274.425759	1955.116396
275	1273.498941	1954.014781
276	1271.53321	1950.804159
277	1270.298552	1948.486308
278	1268.468665	1946.172915
279	1266.978279	1942.849765
280	1265.220929	1939.853422
281	1263.920619	1936.902059
282	1261.81708	1933.496737
283	1260.912004	1931.547767
284	1259.899465	1929.916956
285	1258.866723	1928.519347
286	1256.943745	1925.532034
287	1255.081163	1921.874944
288	1253.627925	1920.146462
289	1252.861715	1919.244307
290	1251.56518	1917.078904
291	1250.563257	1915.562485
292	1249.371062	1910.838435
293	1247.804468	1908.045948
294	1246.355481	1905.439701
295	1245.208593	1903.258315
296	1244.035287	1902.158541
297	1243.123252	1900.414264
298	1241.468463	1897.796217
299	1240.233673	1895.672142
300	1239.433985	1894.222842
301	1238.737128	1892.637968
302	1237.306851	1889.934416
303	1235.659087	1886.875905
304	1233.983289	1884.737528
305	1232.920299	1883.323259
306	1230.692238	1880.022998
307	1229.241264	1878.565619
308	1228.008967	1876.604785
309	1227.513603	1875.857786
310	1225.554888	1873.355283
311	1223.959653	1870.076033
312	1223.41317	1869.378255
313	1221.511519	1866.823107
314	1220.592835	1863.872675
315	1219.18524	1861.583981
316	1218.332272	1860.579239
317	1217.135633	1858.398666
318	1215.50958	1854.094899
319	1214.459211	1852.540777
320	1213.489357	1850.433077
321	1212.160015	1848.034587
322	1211.322169	1846.879224
323	1210.101797	1845.313225
324	1209.240403	1844.205067
325	1208.165748	1841.751362
326	1207.458041	1840.20997
327	1205.903442	1838.868475
328	1204.501551	1836.905047
329	1203.247145	1835.2448
330	1202.783118	1834.56503
331	1201.637702	1832.158123
332	1200.486975	1830.763117
333	1199.939742	1830.102944
334	1198.999649	1829.052481
335	1197.209773	1826.232005
336	1195.629051	1823.942073
337	1194.756223	1822.700878
338	1193.348326	1821.016549
339	1192.350162	1819.582007
340	1191.562449	1818.168043
341	1190.262114	1815.97869
342	1189.37006	1814.668239
343	1187.849828	1813.029066
344	1187.190961	1811.97714
345	1186.240684	1810.251827
346	1184.569055	1808.731822
347	1184.001251	1807.289927
348	1182.551469	1803.198893
349	1180.769097	1799.604803
350	1179.841795	1798.706164
351	1178.500631	1796.417938
352	1177.902468	1795.168207
353	1176.88639	1793.610197
354	1175.71264	1791.567552
355	1174.57036	1789.497449
356	1173.1982	1787.239879
357	1171.611783	1784.658873
358	1170.500652	1782.7589
359	1169.36585	1781.439743
360	1168.045712	1779.673436
361	1167.74792	1779.040592
362	1166.845336	1777.154626
363	1165.380972	1774.675901
364	1164.461324	1771.976545
365	1163.257215	1769.744167
366	1162.128677	1767.800379
367	1161.276282	1765.904239
368	1160.448115	1764.633944
369	1158.917511	1762.386568
370	1157.367051	1759.47814
371	1156.995976	1758.870194
372	1156.095439	1757.058265
373	1155.215313	1755.658209
374	1154.58214	1754.561287
375	1153.541878	1753.637532
376	1152.683269	1752.068588
377	1151.674478	1751.092206
378	1151.133574	1750.164991
379	1149.091707	1748.197767
380	1148.131584	1746.632834
381	1147.057033	1745.081385
382	1145.751682	1742.867295
383	1145.088046	1742.101238
384	1144.194482	1740.716378
385	1143.244646	1739.1714
386	1142.04425	1737.593082
387	1141.189402	1736.637787
388	1140.256425	1734.932609
389	1138.572588	1731.756439
390	1138.041563	1730.723256
391	1136.833863	1729.49075
392	1136.010472	1727.925882
393	1135.415827	1727.421279
394	1134.606061	1726.304753
395	1133.641373	1724.573142
396	1132.732008	1722.965779
397	1132.33722	1722.471719
398	1131.4034	1721.033381
399	1130.522333	1719.536003
400	1129.923606	1718.465139
401	1129.6258	1717.701847
402	1127.684252	1715.050385
403	1126.894349	1713.2313
404	1125.56635	1712.115829
405	1124.948418	1711.200617
406	1124.052201	1709.82399
407	1122.951436	1708.477471
408	1122.384112	1707.669319
409	1121.555127	1706.115224
410	1120.140667	1704.149747
411	1119.081043	1702.14774
412	1118.051257	1699.983508
413	1117.326509	1698.719946
414	1116.789513	1698.004205
415	1115.468745	1695.971195
416	1114.440334	1694.80703
417	1113.873345	1694.226212
418	1112.660545	1692.507716
419	1111.304541	1690.874564
420	1110.522433	1689.57334
421	1109.194864	1686.726148
422	1108.697829	1685.866762
423	1108.291111	1685.212021
424	1107.613823	1683.892227
425	1106.776589	1682.755521
426	1105.65135	1681.353359
427	1104.881337	1680.178141
428	1104.187044	1679.0141
429	1103.41666	1677.640336
430	1102.605127	1676.444156
431	1101.530927	1674.856307
432	1100.500132	1673.250197
433	1099.855062	1672.229429
434	1098.945939	1671.188228
435	1098.041103	1670.216662
436	1097.075416	1669.1239
437	1096.431863	1668.248721
438	1096.190255	1667.998098
439	1095.749535	1666.383041
440	1094.840685	1665.281501
441	1093.482281	1663.850894
442	1093.057878	1662.959403
443	1092.715674	1662.58238
444	1091.478969	1660.464648
445	1090.755057	1659.62753
446	1090.039644	1658.374017
447	1089.380437	1657.233455
448	1088.400504	1655.507466
449	1087.821158	1654.638579
450	1087.092282	1653.674873
451	1086.613944	1652.791122
452	1085.489254	1651.203013
453	1084.251384	1650.169484
454	1083.405489	1648.739684
455	1082.560142	1647.421431
456	1082.026356	1646.438266
457	1081.567914	1645.819044
458	1079.856762	1643.622432
459	1078.261643	1642.222391
460	1077.588114	1641.052501
461	1076.898248	1640.320167
462	1075.861355	1639.326602
463	1074.72928	1637.545063
464	1073.8519	1636.073807
465	1073.057004	1635.464631
466	1071.7923	1633.36116
467	1070.632195	1631.309146
468	1070.04671	1630.631198
469	1069.218698	1629.560191
470	1068.357924	1628.030455
471	1067.710254	1626.887562
472	1066.809409	1626.025384
473	1065.806802	1623.915856
474	1065.274804	1623.203435
475	1064.488333	1622.111472
476	1063.819372	1620.719785
477	1062.990355	1619.669424
478	1062.096012	1618.564566
479	1061.593539	1618.050911
480	1060.394396	1615.966388
481	1059.910647	1615.374858
482	1058.323546	1613.718091
483	1057.487892	1612.307347
484	1056.788141	1610.767047
485	1055.601505	1608.689168
486	1054.504015	1607.400076
487	1053.491354	1605.869636
488	1052.901068	1604.88278
489	1052.239923	1603.58113
490	1051.325203	1602.242164
491	1050.718508	1601.41791
492	1049.724575	1600.134761
493	1048.488831	1598.891969
494	1047.850093	1597.809634
495	1047.334796	1597.059736
496	1046.276439	1595.460654
497	1045.734106	1594.951942
498	1045.11721	1594.440511
499	1045.076449	1594.391188
500	1044.001025	1592.620365
501	1043.241313	1591.647181
502	1042.293285	1590.396429
503	1041.916316	1589.820679
504	1041.348314	1589.269869
505	1040.166232	1587.793789
506	1039.428254	1586.542339
507	1038.961425	1585.424853
508	1038.498633	1584.853185
509	1037.611912	1583.982935
510	1037.021441	1583.146328
511	1036.417645	1582.132018
512	1035.618046	1581.030351
513	1035.135207	1580.535052
514	1034.834891	1580.071366
515	1033.855325	1579.10781
516	1033.083676	1577.841632
517	1032.792091	1577.54195
518	1032.124624	1576.56811
519	1031.59619	1575.901197
520	1031.152519	1575.060471
521	1029.74984	1573.707137
522	1028.874901	1572.81315
523	1028.465429	1572.113988
524	1027.520546	1571.011374
525	1026.817225	1570.035104
526	1025.993281	1568.770078
527	1025.68961	1568.20942
528	1025.060457	1567.365886
529	1024.306248	1566.492353
530	1022.506774	1564.619589
531	1022.015395	1563.940452
532	1021.515586	1563.105983
533	1020.470011	1561.848933
534	1020.190555	1561.580604
535	1019.88473	1560.943028
536	1018.812461	1559.782325
537	1018.166056	1558.942004
538	1017.804714	1558.412128
539	1017.096879	1557.562601
540	1016.673518	1557.131817
541	1016.228513	1556.47257
542	1015.563807	1555.275767
543	1014.980519	1554.46158
544	1014.68364	1553.741142
545	1014.392101	1553.406092
546	1013.519466	1552.540596
547	1013.060195	1551.886065
548	1012.22377	1550.805213
549	1011.462517	1549.884131
550	1010.222341	1548.337717
551	1009.640321	1547.622349
552	1009.075082	1546.622874
553	1008.527589	1545.847562
554	1007.450957	1544.703189
555	1006.769331	1544.078034
556	1006.256357	1543.060968
557	1005.719295	1542.45509
558	1004.914691	1541.514454
559	1004.167574	1540.114445
560	1003.594494	1539.256875
561	1002.785515	1538.178995
562	1001.891184	1536.955253
563	1001.48194	1536.358903
564	1000.708653	1535.446062
565	1000.146175	1534.622011
566	999.543516	1533.949775
567	998.687075	1532.816445
568	998.4102022	1532.271634
569	998.1244564	1531.110552
570	997.4828353	1530.477668
571	996.6540862	1529.441588
572	996.2286243	1528.74641
573	995.5537319	1527.639197
574	994.897074	1527.009428
575	994.3573253	1526.26776
576	993.7369816	1525.302327
577	993.261585	1524.795188
578	992.4009473	1523.973568
579	991.8935492	1523.352697
580	991.6685047	1523.013136
581	990.8483128	1522.070365
582	989.9769163	1520.925334
583	989.4285777	1520.323754
584	988.3878198	1518.520351
585	988.0339983	1517.979264
586	987.3893698	1517.004829
587	986.7534863	1516.355476
588	985.8261483	1515.441239
589	985.1394556	1514.152229
590	984.6955573	1513.342048
591	984.0612457	1512.675397
592	983.9044798	1512.257806
593	983.4063258	1511.650034
594	983.0541608	1511.126455
595	982.4808796	1510.297976
596	981.6512755	1509.34931
597	981.1343376	1508.857338
598	980.6955213	1508.483348
599	980.3071892	1507.802608
600	979.5986322	1506.714772
601	979.0098331	1505.910905
602	978.9835678	1505.875536
603	978.0977855	1505.071509
604	977.2105425	1504.112469
605	976.86445	1503.766013
606	975.9591773	1502.805226
607	975.4722076	1502.040255
608	974.8954895	1501.302569
609	974.1130366	1500.157097
610	973.6044786	1499.288223
611	973.3406408	1498.854025
612	972.6209431	1497.698788
613	971.7297571	1496.351929
614	971.1136359	1495.795704
615	970.6549567	1495.224567
616	969.9297347	1494.193737
617	969.420844	1493.774548
618	969.1545627	1493.38976
619	968.9713803	1493.117605
620	968.2835965	1492.313919
621	967.6148187	1491.159796
622	967.0605154	1490.517531
623	966.7184424	1490.137755
624	966.3715534	1489.391855
625	965.8128923	1488.728897
626	965.4629453	1488.33839
627	964.9832877	1487.723811
628	964.4791654	1487.03024
629	963.8720381	1486.212037
630	963.0608112	1485.20825
631	962.1337021	1484.143422
632	961.6304258	1483.528126
633	960.7041934	1481.788903
634	959.8299458	1480.798519
635	958.2911633	1479.131596
636	957.7796034	1478.444963
637	957.2388418	1477.620172
638	956.8882262	1477.222265
639	955.8864897	1475.547391
640	955.0098428	1474.587309
641	954.3874576	1473.815029
642	954.0596484	1473.182056
643	953.6771352	1472.859025
644	952.9940758	1471.70929
645	952.556052	1470.949872
646	952.2534733	1470.476007
647	951.76665	1470.085013
648	951.2887974	1469.651488
649	950.8847815	1469.268963
650	949.8168166	1467.509251
651	948.9884597	1446.247933
652	948.4301173	1445.593622
653	948.0315629	1444.969287
654	947.6779246	1444.641732
655	947.2748545	1444.21326
656	946.921075	1443.80782
657	946.4142468	1442.940286
658	945.8939381	1442.334723
659	945.1991754	1441.339462
660	944.3552097	1440.317718
661	943.9384381	1439.794576
662	943.5673326	1439.359648
663	943.5474341	1439.332753
664	943.1200543	1438.663007
665	942.7065053	1438.038216
666	941.6027858	1418.927236
667	940.6462065	1417.938831
668	940.0082646	1417.105908
669	939.3023588	1416.52399
670	938.6264677	1415.741597
671	938.2581086	1415.396008
672	937.7226705	1414.665286
673	937.3145515	1414.2417
674	936.5993873	1413.218342
675	935.7557653	1412.187921
676	935.3718114	1411.411381
677	935.1417992	1411.074616
678	934.3767726	1409.723948
679	933.7243319	1408.996949
680	932.976679	1408.241697
681	932.5839067	1407.759908
682	932.3137903	1407.448273
683	931.6642384	1406.653196
684	931.4151328	1406.115076
685	930.7748719	1404.979279
686	930.3148364	1404.488293
687	929.980828	1403.636073
688	929.7206595	1403.25876
689	929.0590777	1402.081878
690	928.6384242	1401.643433
691	928.2492966	1400.540663
692	927.9262535	1400.196768
693	927.4824626	1399.584769
694	927.0733979	1398.979688
695	926.3759012	1398.080942
696	925.8830857	1397.663642
697	925.3014409	1397.042123
698	924.7135338	1395.982172
699	924.3275723	1395.279392
700	924.0392211	1394.93539
701	923.9203473	1392.142547
702	923.4151645	1391.358249
703	923.0719701	1390.668321
704	922.5105014	1390.003753
705	921.912239	1389.172353
706	921.6513799	1388.680034
707	921.2253183	1388.238218
708	920.279834	1386.88395
709	919.697848	1385.942187
710	919.5523668	1385.808267
711	919.1909111	1385.400767
712	918.6322716	1384.926638
713	918.1762144	1384.439223
714	918.0129225	1384.233669
715	917.5128467	1383.551682
716	917.0199672	1383.130104
717	916.480948	1382.439401
718	915.4784398	1380.952969
719	914.8578824	1380.062601
720	914.452473	1379.400559
721	914.0197996	1378.798176
