iter	MAE	RMSE
0	17304.69857	20496.01566
1	16012.36926	19122.41781
2	14816.59911	17836.85644
3	13710.03643	16669.68997
4	12686.46416	15559.55371
5	11739.35483	14538.687
6	10864.71232	13613.18663
7	10057.53569	12761.73038
8	9309.494879	11965.79526
9	8620.824184	11251.91268
10	7986.553256	10589.43913
11	7405.661915	9971.476057
12	6874.54859	9408.732872
13	6382.213109	8893.942934
14	5940.339566	8441.585976
15	5532.651492	8023.612227
16	5162.328794	7635.522533
17	4837.897354	7274.434512
18	4549.028186	6958.51325
19	4285.54677	6701.205477
20	4042.926151	6415.175004
21	3825.165118	6155.160163
22	3626.379749	5913.148617
23	3461.212541	5734.217245
24	3316.786161	5568.826319
25	3178.796554	5391.983009
26	3068.105669	5254.799192
27	2967.445327	5108.570682
28	2874.942898	4982.147178
29	2788.051613	4859.766145
30	2710.800035	4735.839573
31	2644.309387	4614.626248
32	2583.412353	4515.217071
33	2528.899605	4437.001395
34	2482.311526	4364.097022
35	2436.246422	4286.822452
36	2395.091218	4215.740895
37	2354.24296	4149.958417
38	2319.64247	4095.507552
39	2289.383695	4038.46269
40	2264.207028	3985.992536
41	2237.024092	3936.219736
42	2216.074082	3900.016038
43	2195.808744	3866.432807
44	2175.512655	3832.425571
45	2151.554263	3768.745197
46	2135.36921	3731.927928
47	2118.71178	3701.527632
48	2099.128167	3663.076241
49	2088.123066	3643.647007
50	2075.605239	3609.413131
51	2063.518803	3586.536986
52	2052.256258	3564.507218
53	2043.399887	3547.045312
54	2031.146389	3519.538105
55	2025.468324	3513.093193
56	2015.339389	3493.55617
57	2003.682894	3476.785934
58	1990.591348	3457.926501
59	1980.343904	3427.568745
60	1974.382852	3412.399566
61	1967.272719	3386.628068
62	1962.226784	3369.210377
63	1955.894076	3361.75443
64	1948.195794	3348.087803
65	1939.054595	3335.501033
66	1931.483127	3317.915267
67	1924.583129	3307.423614
68	1920.28623	3295.77582
69	1909.886032	3272.767087
70	1899.477383	3258.148608
71	1894.301881	3251.517929
72	1885.619233	3227.513373
73	1880.314232	3216.565342
74	1874.233016	3203.674628
75	1867.18852	3191.376343
76	1864.150267	3179.701941
77	1856.904177	3158.664183
78	1851.618811	3147.201053
79	1847.053688	3141.506465
80	1846.581249	3141.128316
81	1842.03026	3133.812312
82	1832.782492	3123.427571
83	1825.305003	3110.269171
84	1816.835682	3091.407673
85	1811.82114	3084.664693
86	1807.338556	3072.443676
87	1798.791223	3058.376804
88	1793.241136	3043.255707
89	1785.074003	3030.345784
90	1780.003747	3018.8772
91	1773.932261	3006.330649
92	1769.089575	2999.670251
93	1764.840198	2993.404117
94	1758.071224	2987.031396
95	1753.048505	2976.298741
96	1748.796909	2970.644002
97	1743.173109	2959.089215
98	1738.758885	2955.536006
99	1734.602141	2950.095875
100	1731.343186	2942.494643
101	1726.62462	2933.081237
102	1720.387658	2921.327062
103	1715.831683	2911.770075
104	1710.218136	2900.118846
105	1705.366833	2892.287494
106	1699.844339	2883.441128
107	1695.750914	2876.504942
108	1689.904175	2860.040055
109	1685.37057	2840.236734
110	1683.103145	2830.527997
111	1676.495949	2824.477893
112	1672.221664	2817.9331
113	1665.628714	2806.934742
114	1662.777696	2801.975161
115	1657.318	2788.817282
116	1654.462444	2784.049332
117	1652.631896	2772.600633
118	1647.427282	2760.733088
119	1642.324138	2750.582515
120	1639.136382	2743.201929
121	1634.905604	2737.373029
122	1629.780882	2730.340933
123	1627.520778	2723.531932
124	1623.292012	2710.746421
125	1620.013268	2705.926855
126	1617.550608	2702.208907
127	1614.185362	2698.145957
128	1611.299003	2692.763791
129	1607.219686	2683.6443
130	1605.204255	2679.694142
131	1601.233334	2673.658859
132	1596.32476	2668.644875
133	1590.815523	2661.021908
134	1588.267025	2655.787229
135	1583.689191	2648.211207
136	1579.990996	2637.134389
137	1575.778313	2629.289426
138	1571.728971	2620.081523
139	1568.145341	2616.220969
140	1565.700662	2611.922414
141	1562.705151	2607.3308
142	1557.944368	2600.522233
143	1554.463684	2595.848187
144	1551.18164	2587.185743
145	1546.188217	2583.19005
146	1542.767779	2579.230059
147	1538.122853	2568.52417
148	1534.887079	2558.918776
149	1532.613901	2554.583639
150	1529.738914	2548.499168
151	1527.23305	2544.454133
152	1523.739151	2536.453893
153	1521.49028	2531.18713
154	1518.016657	2526.866587
155	1515.130023	2520.670935
156	1511.021971	2515.46933
