iter	Passed	Remaining
0	14	107557
1	22	85110
2	28	71358
3	36	69414
4	42	63600
5	48	60722
6	53	57283
7	59	55498
8	65	54698
9	71	53457
10	77	52831
11	82	51967
12	88	51164
13	109	58561
14	117	58764
15	122	57314
16	127	56163
17	133	55754
18	142	56334
19	148	55787
20	154	55317
21	163	55933
22	171	55982
23	175	54842
24	191	57466
25	206	59643
26	211	58886
27	222	59733
28	228	59149
29	234	58600
30	239	57988
31	245	57456
32	251	57038
33	255	56418
34	273	58522
35	285	59366
36	299	60757
37	308	60816
38	313	60194
39	318	59602
40	322	58971
41	328	58534
42	333	57991
43	337	57403
44	353	58752
45	366	59564
46	382	60838
47	390	60861
48	396	60535
49	401	60098
50	407	59725
51	411	59215
52	416	58807
53	421	58311
54	425	57877
55	430	57489
56	435	57163
57	442	57014
58	450	57083
59	462	57581
60	468	57370
61	484	58418
62	494	58616
63	503	58710
64	509	58479
65	513	58135
66	520	57956
67	525	57655
68	530	57404
69	536	57147
70	541	56859
71	560	58020
72	566	57867
73	572	57721
74	580	57757
75	585	57400
76	591	57265
77	597	57065
78	605	57096
79	612	57012
80	618	56843
81	624	56761
82	645	57949
83	661	58620
84	666	58394
85	672	58181
86	677	57973
87	686	58030
88	691	57852
89	697	57668
90	702	57462
91	708	57275
92	713	57071
93	719	56939
94	731	57253
95	750	58120
96	773	59246
97	786	59668
98	794	59666
99	801	59582
100	806	59344
101	812	59173
102	828	59743
103	841	60119
104	847	59931
105	852	59714
106	856	59441
107	861	59200
108	867	59050
109	872	58886
110	878	58736
111	883	58526
112	889	58368
113	894	58219
114	899	58034
115	910	58197
116	925	58659
117	940	59095
118	954	59433
119	967	59744
120	981	60119
121	994	60418
122	1006	60632
123	1021	61047
124	1034	61283
125	1039	61096
126	1045	60945
127	1050	60731
128	1055	60580
129	1060	60398
130	1066	60269
131	1072	60102
132	1077	59944
133	1082	59770
134	1092	59867
135	1109	60347
136	1130	61005
137	1145	61369
138	1152	61309
139	1158	61172
140	1175	61616
141	1188	61820
142	1200	62037
143	1213	62264
144	1227	62512
145	1240	62731
146	1251	62852
147	1258	62804
148	1263	62616
149	1269	62461
150	1286	62858
151	1301	63172
152	1307	63029
153	1313	62907
154	1319	62806
155	1327	62762
156	1333	62612
157	1338	62477
158	1344	62359
159	1349	62188
160	1357	62140
161	1362	61991
162	1368	61873
163	1374	61735
164	1382	61712
165	1390	61677
166	1398	61648
167	1412	61920
168	1418	61806
169	1423	61657
170	1429	61518
171	1433	61349
172	1439	61220
173	1445	61132
174	1451	61003
175	1459	60984
176	1464	60842
177	1481	61213
178	1496	61450
179	1513	61803
180	1527	62048
181	1534	61975
182	1541	61904
183	1559	62269
184	1569	62322
185	1575	62228
186	1580	62088
187	1586	61969
188	1591	61835
189	1599	61794
190	1604	61660
191	1609	61528
192	1621	61664
193	1630	61674
194	1649	62066
195	1660	62128
196	1666	62025
197	1671	61916
198	1679	61890
199	1691	61998
200	1699	61969
201	1704	61841
202	1709	61695
203	1719	61754
204	1724	61634
205	1740	61871
206	1756	62130
207	1770	62317
208	1787	62619
209	1794	62566
210	1802	62536
211	1808	62438
212	1814	62339
213	1826	62440
214	1840	62643
215	1855	62832
216	1863	62796
217	1868	62688
218	1873	62565
219	1879	62457
220	1884	62346
221	1891	62270
222	1896	62141
223	1903	62102
224	1922	62420
225	1938	62652
226	1953	62865
227	1966	62977
228	1979	63119
229	1988	63135
230	1995	63056
231	2002	63015
232	2017	63188
233	2029	63285
234	2035	63192
235	2042	63140
236	2048	63048
237	2055	62982
238	2060	62858
239	2066	62775
240	2071	62670
241	2077	62579
242	2083	62482
243	2099	62710
244	2111	62802
245	2124	62918
246	2139	63107
247	2145	62998
248	2151	62927
249	2159	62885
250	2164	62776
251	2171	62721
252	2179	62704
253	2187	62679
254	2199	62749
255	2212	62875
256	2224	62960
257	2229	62857
258	2235	62753
259	2240	62645
260	2244	62522
261	2249	62419
262	2254	62309
263	2262	62276
264	2267	62181
265	2277	62214
266	2290	62316
267	2304	62441
268	2313	62458
269	2318	62358
270	2324	62266
271	2329	62169
272	2333	62043
273	2339	61951
274	2344	61871
275	2351	61811
276	2361	61845
277	2367	61767
278	2381	61908
279	2397	62082
280	2408	62143
281	2414	62060
282	2420	61991
283	2425	61901
284	2428	61744
285	2435	61693
286	2441	61630
287	2447	61548
288	2452	61455
289	2458	61386
290	2472	61518
291	2485	61608
292	2490	61530
293	2496	61458
294	2502	61384
295	2512	61400
296	2517	61319
297	2524	61263
298	2529	61189
299	2534	61097
300	2539	61008
301	2549	61024
302	2566	61215
303	2580	61343
304	2586	61284
305	2592	61215
306	2598	61141
307	2604	61074
308	2610	61001
309	2614	60902
310	2619	60821
311	2625	60753
312	2632	60718
313	2640	60685
314	2656	60851
315	2669	60949
316	2678	60965
317	2684	60885
318	2689	60815
319	2696	60773
320	2702	60697
321	2707	60615
322	2712	60534
323	2718	60461
324	2723	60393
325	2730	60346
326	2736	60283
327	2742	60220
328	2755	60328
329	2769	60423
330	2775	60366
331	2780	60295
332	2787	60243
333	2791	60158
334	2797	60093
335	2803	60033
336	2810	60001
337	2822	60055
338	2836	60181
339	2847	60232
340	2853	60170
341	2860	60124
342	2865	60045
343	2870	59979
344	2876	59914
345	2882	59852
346	2888	59794
347	2893	59724
348	2898	59648
349	2904	59584
350	2924	59814
351	2939	59945
352	2947	59928
353	2953	59882
354	2958	59812
355	2964	59751
356	2969	59679
357	2975	59624
358	2981	59555
359	2986	59493
360	2992	59427
361	3002	59467
362	3017	59584
363	3026	59592
364	3035	59601
365	3044	59594
366	3053	59601
367	3057	59522
368	3063	59465
369	3068	59397
370	3074	59334
371	3080	59280
372	3087	59244
373	3103	59398
374	3117	59486
375	3130	59571
376	3144	59678
377	3157	59744
378	3170	59830
379	3179	59832
380	3188	59840
381	3202	59940
382	3216	60037
383	3222	59984
384	3228	59916
385	3233	59852
386	3239	59792
387	3244	59722
388	3249	59665
389	3254	59592
390	3260	59543
391	3266	59486
392	3271	59415
393	3284	59498
394	3298	59594
395	3311	59657
396	3316	59594
397	3322	59541
398	3327	59476
399	3333	59436
400	3339	59373
401	3345	59325
402	3351	59280
403	3358	59248
404	3364	59191
405	3374	59227
406	3390	59345
407	3405	59450
408	3412	59414
409	3417	59353
410	3422	59294
411	3428	59245
412	3433	59178
413	3447	59269
414	3453	59215
415	3467	59307
416	3475	59291
417	3483	59278
418	3489	59223
419	3494	59171
420	3500	59118
421	3506	59061
422	3511	59014
423	3518	58968
424	3524	58928
425	3530	58875
426	3535	58825
427	3541	58779
428	3547	58733
429	3553	58688
430	3558	58627
431	3564	58577
432	3571	58546
433	3585	58629
434	3598	58698
435	3610	58754
436	3622	58813
437	3630	58789
438	3637	58766
439	3643	58720
440	3658	58811
441	3673	58918
442	3686	58976
443	3700	59067
444	3714	59153
445	3728	59235
446	3741	59297
447	3754	59361
448	3767	59428
449	3780	59495
450	3794	59568
451	3810	59672
452	3823	59735
453	3837	59820
454	3851	59898
455	3858	59868
456	3872	59939
457	3886	60022
458	3897	60050
459	3903	60003
460	3910	59965
461	3919	59968
462	3937	60101
463	3950	60164
464	3964	60241
465	3969	60185
466	3974	60120
467	3984	60128
468	3990	60091
469	3995	60028
470	4001	59973
471	4006	59917
472	4012	59867
473	4017	59813
474	4033	59920
475	4047	59987
476	4054	59955
477	4059	59896
478	4065	59849
479	4071	59801
480	4078	59782
481	4092	59843
482	4106	59920
483	4116	59932
484	4131	60018
485	4150	60168
486	4158	60142
487	4164	60110
488	4170	60063
489	4176	60018
490	4182	59966
491	4187	59913
492	4197	59929
493	4212	60006
494	4228	60102
495	4240	60148
496	4253	60203
497	4259	60153
498	4265	60108
499	4270	60057
500	4275	59999
501	4281	59948
502	4289	59939
503	4297	59919
504	4315	60037
505	4327	60082
506	4343	60171
507	4357	60248
508	4364	60216
509	4374	60223
510	4380	60176
511	4392	60216
512	4405	60274
513	4420	60346
514	4428	60327
515	4441	60376
516	4446	60330
517	4459	60382
518	4477	60492
519	4490	60544
520	4503	60589
521	4516	60642
522	4528	60680
523	4543	60761
524	4557	60814
525	4571	60874
526	4582	60908
527	4596	60962
528	4609	61018
529	4621	61046
530	4628	61013
531	4634	60969
532	4639	60920
533	4645	60867
534	4650	60812
535	4655	60761
536	4665	60761
537	4679	60826
538	4693	60891
539	4708	60960
540	4726	61066
541	4742	61159
542	4755	61204
543	4769	61261
544	4782	61305
545	4790	61279
546	4796	61242
547	4802	61194
548	4808	61148
549	4814	61111
550	4820	61065
551	4827	61031
552	4833	60992
553	4845	61026
554	4861	61108
555	4874	61151
556	4886	61178
557	4898	61212
558	4911	61255
559	4918	61226
560	4924	61180
561	4933	61175
562	4946	61215
563	4959	61260
564	4972	61310
565	4978	61257
566	4983	61206
567	4988	61150
568	4993	61101
569	4999	61055
570	5004	61002
571	5012	60986
572	5018	60935
573	5031	60979
574	5047	61058
575	5061	61109
576	5072	61128
577	5077	61083
578	5083	61035
579	5088	60987
580	5093	60933
581	5099	60886
582	5105	60840
583	5111	60805
584	5124	60847
585	5138	60902
586	5147	60895
587	5153	60852
588	5159	60806
589	5163	60744
590	5168	60695
591	5174	60657
592	5179	60603
593	5185	60556
594	5190	60503
595	5196	60463
596	5201	60413
597	5217	60489
598	5226	60489
599	5236	60491
600	5246	60493
601	5254	60483
602	5264	60482
603	5273	60483
604	5283	60488
605	5294	60499
606	5305	60519
607	5315	60524
608	5323	60504
609	5329	60467
610	5335	60425
611	5341	60383
612	5346	60342
613	5353	60310
614	5358	60262
615	5366	60246
616	5371	60189
617	5376	60145
618	5386	60151
619	5405	60257
620	5419	60308
621	5434	60370
622	5453	60472
623	5467	60522
624	5489	60659
625	5502	60697
626	5508	60652
627	5514	60611
628	5521	60590
629	5527	60550
630	5532	60502
631	5538	60455
632	5542	60400
633	5548	60354
634	5552	60304
635	5558	60258
636	5564	60220
637	5569	60175
638	5574	60123
639	5581	60093
640	5587	60055
641	5597	60065
642	5605	60046
643	5611	60007
644	5616	59962
645	5623	59931
646	5628	59890
647	5636	59870
648	5645	59860
649	5651	59827
650	5657	59787
651	5663	59754
652	5671	59741
653	5678	59713
654	5685	59686
655	5690	59638
656	5698	59625
657	5706	59606
658	5712	59571
659	5719	59547
660	5726	59514
661	5731	59469
662	5737	59432
663	5743	59398
664	5749	59360
665	5767	59448
666	5782	59502
667	5796	59548
668	5810	59595
669	5822	59624
670	5835	59663
671	5851	59726
672	5864	59756
673	5874	59764
674	5879	59722
675	5889	59718
676	5894	59675
677	5907	59707
678	5917	59719
679	5928	59734
680	5943	59782
681	5955	59812
682	5968	59845
683	5974	59807
684	5980	59767
685	5987	59741
686	5993	59703
687	5998	59663
688	6004	59629
689	6011	59602
690	6026	59657
691	6040	59696
692	6052	59719
693	6061	59719
694	6067	59684
695	6074	59657
696	6081	59624
697	6092	59641
698	6109	59715
699	6123	59753
700	6137	59795
701	6151	59846
702	6165	59880
