iter	Passed	Remaining
0	8	61619
1	14	54050
2	18	47313
3	29	55726
4	38	58368
5	51	64490
6	60	65198
7	66	62662
8	72	60700
9	78	58995
10	83	57046
11	88	55627
12	94	54410
13	99	53547
14	104	52517
15	110	51703
16	119	52631
17	124	52110
18	142	56517
19	154	58103
20	165	59088
21	177	60423
22	189	61816
23	194	60946
24	200	60234
25	207	59806
26	213	59377
27	224	60158
28	237	61433
29	250	62642
30	261	63268
31	267	62797
32	273	62249
33	280	61876
34	286	61391
35	292	60852
36	297	60207
37	302	59724
38	308	59185
39	319	59880
40	333	60903
41	345	61568
42	357	62326
43	372	63403
44	386	64338
45	393	63952
46	399	63672
47	405	63195
48	409	62600
49	423	63310
50	429	62943
51	433	62384
52	439	61943
53	443	61398
54	449	61128
55	454	60634
56	459	60247
57	464	59792
58	468	59371
59	473	59011
60	478	58627
61	485	58468
62	502	59543
63	515	60145
64	523	60172
65	530	60023
66	536	59721
67	544	59729
68	549	59434
69	555	59236
70	561	58971
71	566	58642
72	571	58371
73	576	58044
74	597	59421
75	604	59326
76	610	59070
77	615	58818
78	620	58562
79	641	59709
80	653	60114
81	659	59905
82	665	59695
83	674	59812
84	687	60243
85	693	60011
86	700	59907
87	709	59972
88	715	59859
89	726	60083
90	735	60168
91	742	60058
92	755	60388
93	767	60694
94	773	60528
95	779	60335
96	785	60224
97	793	60172
98	800	60114
99	812	60410
100	818	60189
101	831	60571
102	844	60920
103	859	61408
104	866	61316
105	872	61150
106	877	60900
107	883	60747
108	889	60580
109	894	60348
110	899	60123
111	905	59985
112	911	59839
113	917	59722
114	928	59882
115	951	60829
116	958	60740
117	964	60589
118	972	60572
119	984	60816
120	991	60708
121	998	60609
122	1005	60530
123	1016	60726
124	1027	60902
125	1043	61344
126	1058	61684
127	1064	61595
128	1071	61510
129	1085	61824
130	1098	62066
131	1116	62595
132	1133	63074
133	1150	63493
134	1174	64339
135	1194	64938
136	1211	65374
137	1226	65700
138	1241	66030
139	1256	66332
140	1270	66608
141	1284	66842
142	1302	67313
143	1318	67630
144	1330	67758
145	1335	67567
146	1342	67434
147	1347	67207
148	1352	67014
149	1357	66815
150	1364	66679
151	1369	66496
152	1375	66337
153	1387	66481
154	1402	66723
155	1409	66628
156	1423	66867
157	1438	67116
158	1451	67317
159	1466	67565
160	1472	67386
161	1482	67444
162	1498	67722
163	1507	67706
164	1517	67724
165	1527	67773
166	1536	67763
167	1544	67699
168	1553	67673
169	1562	67643
170	1573	67715
171	1582	67717
172	1593	67761
173	1602	67759
174	1618	68016
175	1630	68149
176	1639	68136
177	1646	68029
178	1656	68027
179	1674	68404
180	1687	68514
181	1692	68338
182	1702	68362
183	1717	68576
184	1722	68389
185	1728	68237
186	1733	68088
187	1738	67907
188	1752	68059
189	1765	68232
190	1777	68297
191	1783	68157
192	1789	68034
193	1794	67882
194	1799	67701
195	1805	67576
196	1817	67664
197	1826	67662
198	1840	67798
199	1852	67903
200	1864	67985
201	1870	67852
202	1875	67688
203	1880	67551
204	1890	67575
205	1897	67463
206	1902	67318
207	1908	67190
208	1914	67074
209	1920	66949
210	1926	66830
211	1940	66999
212	1954	67164
213	1968	67312
214	1983	67506
215	1989	67382
216	1997	67336
217	2005	67269
218	2011	67158
219	2020	67143
220	2049	67793
221	2056	67714
222	2062	67593
223	2068	67478
224	2074	67366
225	2086	67446
226	2107	67812
227	2119	67878
228	2131	67960
229	2142	68013
230	2149	67919
231	2156	67843
232	2164	67800
233	2173	67772
234	2182	67757
235	2188	67645
236	2194	67529
237	2199	67398
238	2205	67302
239	2220	67463
240	2234	67591
241	2243	67586
242	2250	67485
243	2255	67369
244	2261	67251
245	2267	67140
246	2275	67118
247	2282	67034
248	2288	66921
249	2298	66932
250	2312	67072
251	2319	66988
252	2325	66890
253	2330	66772
254	2346	66943
255	2352	66864
256	2359	66782
257	2367	66726
258	2372	66600
259	2377	66478
260	2395	66719
261	2409	66847
262	2416	66776
263	2420	66638
264	2426	66535
265	2432	66444
266	2438	66342
267	2443	66232
268	2449	66122
269	2457	66093
270	2463	65996
271	2469	65915
272	2481	65964
273	2496	66116
274	2510	66251
275	2527	66433
276	2539	66501
277	2557	66716
278	2572	66859
279	2586	66977
280	2595	66975
281	2609	67079
282	2626	67268
283	2648	67579
284	2671	67933
285	2683	67983
286	2688	67864
287	2693	67732
288	2702	67709
289	2707	67602
290	2713	67518
291	2718	67399
292	2724	67295
293	2731	67249
294	2742	67274
295	2754	67316
296	2768	67423
297	2782	67533
298	2796	67630
299	2808	67692
300	2820	67739
301	2825	67625
302	2841	67790
303	2853	67843
304	2869	67976
305	2876	67912
306	2882	67818
307	2888	67730
308	2894	67642
309	2899	67534
310	2904	67429
311	2910	67339
312	2934	67660
313	2950	67812
314	2964	67910
315	2976	67966
316	2985	67930
317	2989	67815
318	2995	67715
319	3000	67615
320	3006	67522
321	3012	67439
322	3017	67336
323	3022	67237
324	3033	67269
325	3041	67215
326	3047	67137
327	3053	67048
328	3063	67064
329	3077	67163
330	3089	67207
331	3094	67111
332	3100	67026
333	3105	66927
334	3110	66817
335	3120	66830
336	3134	66911
337	3148	67007
338	3162	67094
339	3175	67156
340	3189	67251
341	3198	67242
342	3204	67157
343	3218	67243
344	3233	67343
345	3245	67399
346	3250	67300
347	3256	67212
348	3263	67153
349	3269	67085
350	3274	66983
351	3282	66954
352	3288	66864
353	3294	66799
354	3309	66900
355	3323	66975
356	3337	67071
357	3351	67142
358	3357	67071
359	3362	66987
360	3369	66926
361	3378	66909
362	3384	66835
363	3405	67058
364	3418	67120
365	3426	67084
366	3433	67014
367	3444	67037
368	3449	66960
369	3456	66901
370	3462	66820
371	3469	66773
372	3476	66713
373	3485	66703
374	3491	66634
375	3510	66810
376	3519	66790
377	3526	66723
378	3531	66633
379	3536	66545
380	3541	66459
381	3562	66667
382	3573	66688
383	3591	66839
384	3608	66971
385	3620	67011
386	3633	67071
387	3646	67137
388	3663	67259
389	3676	67319
390	3688	67354
391	3702	67432
392	3715	67486
393	3729	67548
394	3738	67535
395	3755	67662
396	3774	67830
397	3789	67913
398	3795	67837
399	3802	67793
400	3808	67714
401	3814	67644
402	3819	67564
403	3826	67502
404	3831	67418
405	3838	67368
406	3844	67290
407	3849	67203
408	3856	67157
409	3863	67097
410	3879	67203
411	3898	67359
412	3910	67401
413	3923	67442
414	3929	67372
415	3940	67393
416	3954	67467
417	3969	67554
418	3981	67580
419	3993	67609
420	4006	67667
421	4015	67650
422	4021	67582
423	4028	67533
424	4042	67592
425	4055	67638
426	4067	67666
427	4074	67617
428	4079	67535
429	4084	67452
430	4090	67390
431	4096	67310
432	4101	67232
433	4112	67242
434	4127	67328
435	4140	67376
436	4151	67386
437	4156	67309
438	4162	67249
439	4168	67173
440	4173	67101
441	4179	67033
442	4192	67079
443	4201	67066
444	4210	67050
445	4219	67032
446	4228	67008
447	4233	66931
448	4241	66904
449	4247	66830
450	4252	66751
451	4256	66668
452	4261	66584
453	4267	66520
454	4273	66454
455	4278	66382
456	4284	66322
457	4289	66245
458	4304	66315
459	4313	66308
460	4319	66244
461	4325	66176
462	4330	66104
463	4335	66029
464	4343	65999
465	4349	65939
466	4355	65882
467	4364	65863
468	4370	65802
469	4376	65750
470	4384	65715
471	4399	65789
472	4410	65806
473	4420	65817
474	4429	65793
475	4434	65724
476	4439	65655
477	4445	65592
478	4451	65539
479	4456	65465
480	4462	65401
481	4467	65330
482	4484	65437
483	4497	65490
484	4512	65554
485	4525	65594
486	4539	65658
487	4551	65687
488	4567	65771
489	4580	65819
490	4596	65908
491	4608	65938
492	4623	66007
493	4646	66185
494	4662	66275
495	4680	66388
496	4688	66361
497	4703	66418
498	4716	66465
499	4734	66582
500	4749	66646
501	4766	66745
502	4781	66806
503	4799	66911
504	4810	66921
505	4816	66865
506	4823	66819
507	4828	66756
508	4835	66712
509	4846	66717
510	4862	66803
511	4874	66830
512	4886	66851
513	4899	66890
514	4914	66946
515	4927	66987
516	4941	67035
517	4952	67046
518	4964	67075
519	4977	67106
520	4990	67146
521	5003	67189
522	5022	67305
523	5044	67449
524	5051	67413
525	5060	67394
526	5066	67329
527	5076	67335
528	5083	67281
529	5090	67240
530	5096	67192
531	5107	67195
532	5114	67151
533	5122	67117
534	5135	67161
535	5150	67215
536	5159	67198
537	5165	67146
538	5172	67098
539	5178	67040
540	5184	66983
541	5190	66927
542	5195	66860
543	5201	66807
544	5207	66745
545	5221	66803
546	5228	66751
547	5233	66683
548	5238	66618
549	5243	66557
550	5253	66545
551	5259	66496
552	5268	66477
553	5273	66417
554	5279	66356
555	5284	66296
556	5303	66398
557	5316	66435
558	5324	66406
559	5330	66354
560	5336	66302
561	5342	66247
562	5349	66210
563	5356	66168
564	5362	66116
565	5369	66069
566	5375	66020
567	5384	66005
568	5389	65943
569	5394	65884
570	5400	65831
571	5406	65773
572	5411	65717
573	5417	65664
574	5424	65618
575	5429	65560
576	5434	65502
577	5441	65452
578	5446	65392
579	5452	65340
580	5458	65300
581	5464	65244
582	5469	65183
583	5475	65129
584	5481	65080
585	5487	65030
586	5496	65018
587	5507	65031
588	5522	65091
589	5543	65214
590	5557	65258
591	5571	65309
592	5585	65349
593	5600	65409
594	5610	65403
595	5621	65406
596	5626	65347
597	5633	65316
598	5639	65259
599	5646	65228
600	5662	65292
601	5678	65354
602	5694	65422
603	5703	65407
604	5709	65364
605	5714	65305
606	5720	65247
607	5725	65189
608	5730	65128
609	5734	65067
610	5751	65138
611	5767	65200
612	5773	65159
613	5778	65101
614	5784	65047
615	5790	65003
616	5801	65009
617	5807	64961
618	5813	64913
619	5819	64867
620	5830	64873
621	5846	64941
622	5861	64990
623	5877	65057
624	5890	65090
625	5896	65037
626	5901	64986
627	5907	64935
628	5917	64927
629	5933	64994
630	5945	65010
631	5961	65077
632	5980	65168
633	5992	65187
634	5998	65139
635	6004	65098
636	6010	65048
637	6025	65102
638	6038	65130
639	6045	65094
640	6053	65064
641	6059	65017
642	6064	64966
643	6072	64943
644	6079	64908
645	6085	64859
646	6091	64809
647	6097	64770
648	6105	64741
649	6110	64688
650	6120	64679
651	6125	64626
652	6130	64573
653	6136	64527
654	6143	64495
655	6152	64478
656	6167	64523
657	6172	64475
658	6178	64428
659	6184	64379
660	6194	64380
661	6209	64428
662	6219	64426
663	6227	64402
664	6237	64402
665	6248	64403
666	6253	64352
667	6262	64338
668	6268	64292
669	6276	64268
670	6288	64288
671	6300	64312
672	6314	64348
673	6326	64364
674	6334	64342
675	6342	64314
676	6347	64264
677	6353	64216
678	6358	64164
679	6363	64114
680	6370	64081
681	6383	64110
682	6396	64129
683	6408	64154
684	6415	64113
685	6421	64074
686	6429	64054
687	6434	64001
688	6440	63958
689	6446	63911
690	6451	63865
691	6457	63823
692	6469	63835
693	6485	63897
694	6491	63850
695	6496	63800
696	6502	63753
697	6507	63700
698	6513	63660
699	6522	63648
700	6528	63604
701	6534	63565
702	6540	63521
703	6545	63476
704	6552	63439
705	6565	63470
706	6578	63496
707	6590	63513
708	6603	63536
709	6618	63583
710	6627	63573
711	6633	63526
712	6638	63483
713	6644	63435
714	6650	63401
715	6656	63360
716	6662	63312
717	6668	63272
718	6675	63244
719	6680	63196
720	6688	63173
721	6696	63149
722	6709	63182
723	6715	63141
724	6720	63089
725	6726	63046
726	6731	62998
727	6745	63034
728	6759	63072
729	6774	63115
730	6790	63164
731	6802	63185
732	6814	63198
733	6828	63231
734	6840	63245
735	6854	63280
736	6868	63318
737	6879	63322
738	6886	63289
739	6892	63254
740	6899	63221
741	6907	63201
742	6915	63175
743	6932	63239
744	6946	63269
745	6959	63293
746	6973	63332
747	6986	63355
748	6992	63318
749	6999	63283
750	7004	63237
751	7009	63191
752	7024	63233
753	7034	63225
754	7044	63220
755	7053	63213
756	7064	63219
757	7073	63201
758	7087	63235
759	7094	63205
760	7108	63240
761	7125	63297
762	7139	63328
763	7152	63354
764	7164	63367
765	7179	63407
766	7190	63408
767	7197	63379
768	7205	63359
769	7213	63342
770	7219	63300
771	7225	63258
772	7237	63272
773	7244	63241
774	7250	63204
775	7262	63219
776	7268	63181
777	7279	63185
778	7293	63215
779	7309	63262
780	7323	63291
781	7337	63325
782	7344	63293
783	7349	63253
784	7356	63217
785	7376	63300
786	7391	63338
787	7408	63395
788	7424	63438
789	7437	63467
790	7451	63496
791	7459	63475
792	7465	63432
793	7476	63438
794	7490	63467
795	7503	63486
796	7509	63452
797	7515	63411
798	7524	63398
799	7531	63367
800	7541	63366
801	7560	63437
802	7575	63469
803	7586	63472
804	7594	63453
805	7602	63429
806	7607	63389
807	7613	63351
808	7619	63312
809	7629	63309
810	7635	63268
811	7641	63228
812	7647	63189
813	7659	63201
814	7673	63229
815	7682	63220
816	7688	63186
817	7696	63165
818	7702	63124
819	7708	63087
820	7713	63045
821	7718	62998
822	7724	62958
823	7730	62926
824	7736	62888
825	7742	62851
826	7748	62809
827	7753	62767
828	7762	62756
829	7775	62778
830	7786	62779
831	7794	62759
832	7799	62716
833	7805	62677
834	7811	62640
835	7816	62601
836	7822	62561
837	7831	62552
838	7844	62569
839	7860	62612
840	7868	62588
841	7873	62552
842	7879	62512
843	7887	62490
844	7894	62468
845	7900	62428
846	7906	62393
847	7911	62352
848	7916	62309
849	7929	62326
850	7940	62326
851	7946	62295
852	7952	62262
853	7963	62265
854	7970	62234
855	7984	62260
856	7997	62278
857	8006	62270
858	8011	62228
859	8016	62187
860	8025	62171
861	8031	62138
862	8046	62170
863	8058	62185
864	8065	62153
865	8070	62115
866	8076	62074
867	8081	62033
868	8087	62002
869	8093	61964
