iter	Passed	Remaining
0	8	62104
1	11	43298
2	18	45220
3	25	48303
4	32	48711
5	38	48051
6	44	48147
7	51	47980
8	57	48191
9	69	52124
10	78	53991
11	91	57281
12	97	56277
13	105	56677
14	112	56361
15	126	59524
16	135	60034
17	147	61526
18	166	65860
19	175	65807
20	183	65525
21	188	64392
22	194	63336
23	201	62922
24	207	62233
25	215	62215
26	223	62099
27	229	61402
28	234	60745
29	239	60004
30	257	62378
31	272	63780
32	285	64858
33	298	65776
34	313	67230
35	326	67892
36	341	69097
37	356	70308
38	370	71187
39	385	72214
40	399	72964
41	404	72141
42	414	72110
43	419	71328
44	437	72713
45	446	72692
46	452	72067
47	457	71392
48	463	70793
49	469	70182
50	480	70440
51	485	69871
52	501	70804
53	515	71383
54	529	72014
55	539	72017
56	546	71714
57	552	71220
58	558	70760
59	563	70212
60	569	69689
61	574	69235
62	579	68729
63	585	68279
64	591	67925
65	599	67835
66	607	67657
67	613	67365
68	624	67489
69	639	68130
70	646	67960
71	652	67599
72	658	67263
73	666	67120
74	672	66826
75	678	66512
76	684	66289
77	690	65952
78	696	65736
79	714	66578
80	726	66853
81	733	66629
82	739	66383
83	746	66140
84	753	65975
85	759	65730
86	764	65421
87	770	65181
88	777	64978
89	787	65102
90	803	65693
91	816	66014
92	831	66468
93	844	66812
94	858	67230
95	871	67524
96	877	67220
97	882	66936
98	884	66379
99	890	66145
100	895	65850
101	900	65604
102	906	65368
103	911	65117
104	917	64915
105	926	64889
106	932	64667
107	937	64423
108	942	64200
109	951	64221
110	957	64012
111	966	63993
112	981	64405
113	994	64714
114	1005	64816
115	1012	64698
116	1021	64720
117	1029	64689
118	1036	64536
119	1042	64381
120	1050	64330
121	1062	64512
122	1076	64854
123	1091	65203
124	1106	65578
125	1119	65811
126	1134	66157
127	1151	66572
128	1164	66847
129	1179	67128
130	1193	67423
131	1206	67631
132	1220	67880
133	1228	67803
134	1235	67675
135	1244	67672
136	1259	67970
137	1267	67901
138	1273	67699
139	1281	67637
140	1286	67418
141	1293	67320
142	1299	67144
143	1305	66995
144	1311	66800
145	1317	66628
146	1322	66448
147	1328	66295
148	1345	66663
149	1356	66735
150	1366	66801
151	1372	66630
152	1377	66428
153	1384	66324
154	1391	66219
155	1396	66037
156	1401	65840
157	1407	65661
158	1412	65473
159	1417	65317
160	1431	65520
161	1445	65746
162	1458	65919
163	1469	66012
164	1483	66246
165	1498	66497
166	1518	66966
167	1531	67119
168	1542	67185
169	1547	66997
170	1552	66816
171	1557	66639
172	1563	66480
173	1569	66351
174	1574	66197
175	1580	66060
176	1587	65944
177	1593	65809
178	1602	65817
179	1617	66037
180	1630	66222
181	1644	66403
182	1657	66545
183	1670	66718
184	1690	67109
185	1703	67269
186	1719	67514
187	1733	67723
188	1745	67824
189	1757	67898
190	1769	68013
191	1778	67963
192	1783	67800
193	1788	67655
194	1801	67770
195	1816	67974
196	1822	67832
197	1828	67713
198	1833	67545
199	1845	67648
200	1857	67727
201	1872	67949
202	1881	67904
203	1893	67998
204	1907	68155
205	1912	68000
206	1917	67847
207	1923	67703
208	1927	67544
209	1933	67392
210	1938	67255
211	1943	67111
212	1949	66981
213	1954	66827
214	1960	66699
215	1965	66570
216	1971	66456
217	1977	66333
218	1995	66612
219	2008	66733
220	2014	66623
221	2020	66520
222	2026	66395
223	2033	66319
224	2040	66257
225	2046	66153
226	2051	66025
227	2059	65968
228	2065	65862
229	2071	65749
230	2076	65633
231	2082	65505
232	2088	65423
233	2094	65308
234	2100	65205
235	2105	65090
236	2112	65000
237	2117	64890
238	2123	64780
239	2128	64676
240	2134	64553
241	2139	64454
242	2144	64332
243	2149	64185
244	2158	64180
245	2163	64066
246	2169	63983
247	2176	63914
248	2188	64008
249	2201	64122
250	2215	64266
251	2222	64200
252	2228	64095
253	2233	63995
254	2239	63894
255	2245	63813
256	2251	63726
257	2258	63663
258	2264	63584
259	2270	63494
260	2276	63422
261	2285	63417
262	2299	63543
263	2309	63560
264	2322	63668
265	2336	63811
266	2352	63997
267	2363	64054
268	2373	64065
269	2378	63971
270	2384	63884
271	2389	63767
272	2394	63661
273	2400	63571
274	2404	63450
275	2409	63344
276	2414	63242
277	2423	63233
278	2437	63357
279	2447	63378
280	2454	63333
281	2465	63387
282	2470	63283
283	2476	63189
284	2482	63104
285	2487	63010
286	2493	62925
287	2498	62837
