iter	MAE	RMSE
0	17206.13109	20258.56291
1	15921.17483	18888.27144
2	14732.25992	17607.4185
3	13632.19617	16432.83968
4	12614.38471	15337.92965
5	11672.63222	14323.81441
6	10802.6495	13408.17909
7	10000.72998	12558.15606
8	9257.900172	11779.83461
9	8572.006364	11041.07456
10	7940.201082	10373.81375
11	7359.47356	9759.721815
12	6827.613725	9198.713767
13	6341.762609	8699.259497
14	5897.431049	8219.713339
15	5494.713572	7811.366527
16	5119.276602	7421.979981
17	4788.329555	7071.344045
18	4488.346758	6733.39873
19	4217.941694	6435.407153
20	3982.037882	6165.990344
21	3760.31891	5903.226405
22	3573.55346	5685.447545
23	3402.384906	5482.429371
24	3256.137627	5302.84834
25	3128.5401	5139.134388
26	3014.766396	4982.094377
27	2908.606314	4843.541998
28	2812.235093	4712.305723
29	2733.852534	4601.661257
30	2655.206618	4475.726253
31	2590.602107	4383.873896
32	2536.945319	4303.933914
33	2487.59676	4236.666455
34	2440.460508	4169.133896
35	2395.697148	4085.132893
36	2356.208608	4015.600207
37	2321.322519	3951.609758
38	2288.778925	3897.727347
39	2257.255455	3842.917282
40	2230.531937	3796.058805
41	2204.84435	3751.720854
42	2184.867428	3721.430698
43	2161.008444	3679.19858
44	2141.294838	3648.96196
45	2118.928442	3618.35095
46	2099.539216	3590.420371
47	2083.696901	3562.818873
48	2068.756635	3533.551299
49	2055.540557	3507.528992
50	2043.15915	3484.178005
51	2034.009259	3467.447982
52	2020.174719	3443.569004
53	2009.459495	3427.788216
54	1994.201803	3397.743108
55	1985.653894	3383.400801
56	1977.264456	3364.123516
57	1970.145324	3322.225296
58	1961.28106	3303.897775
59	1951.651887	3275.134701
60	1937.250447	3239.295301
61	1928.271263	3222.907343
62	1918.800925	3179.741104
63	1910.39837	3167.695668
64	1902.023152	3153.478492
65	1892.524521	3130.203359
66	1885.625223	3121.89413
67	1877.640655	3102.619464
68	1874.8611	3095.616188
69	1868.530234	3079.518946
70	1861.344816	3071.070928
71	1851.5962	3061.719883
72	1846.464696	3050.872292
73	1839.196398	3037.648859
74	1835.247283	3031.621576
75	1833.066553	3027.050347
76	1825.032932	3012.95879
77	1818.64152	2997.92979
78	1809.402368	2979.708264
79	1800.246558	2963.127411
80	1792.147321	2944.189884
81	1784.913999	2933.726953
82	1778.990022	2927.550781
83	1771.199244	2912.238049
84	1760.271453	2891.490186
85	1752.481993	2877.875232
86	1748.216465	2870.260003
87	1743.083522	2863.313083
88	1735.616889	2854.852582
89	1731.580611	2820.860065
90	1725.919855	2806.11028
91	1719.223506	2795.289689
92	1716.957093	2790.087971
93	1713.232627	2774.274965
94	1706.029201	2758.696792
95	1703.089548	2744.41804
96	1698.917227	2737.205808
97	1693.145381	2725.901444
98	1688.307137	2714.873214
99	1683.839057	2708.344712
100	1679.989255	2683.005455
101	1678.150253	2679.206171
102	1674.356895	2667.306983
103	1667.870726	2657.966053
104	1663.426627	2648.867165
105	1660.563624	2640.3204
106	1656.270815	2635.204504
107	1649.652744	2622.020304
108	1644.22393	2613.94131
109	1640.245547	2606.332331
110	1635.579424	2597.413869
111	1630.627181	2591.079691
112	1625.3261	2581.687297
113	1621.981025	2578.289445
114	1617.24217	2573.94893
115	1613.189251	2565.929296
116	1609.490775	2561.487247
117	1605.15918	2558.108528
118	1601.30154	2533.42364
119	1597.694122	2524.973173
120	1592.914871	2516.215513
121	1587.989334	2508.766916
122	1582.519227	2502.696364
123	1578.072037	2491.586904
124	1573.366358	2480.998741
125	1570.034403	2475.234739
126	1566.226053	2464.990564
127	1563.621907	2458.768039
128	1560.956593	2452.869065
129	1557.863362	2445.458561
130	1551.673639	2435.829737
131	1548.159976	2428.649026
132	1544.517374	2425.067497
133	1542.088887	2418.485386
134	1537.731612	2413.288278
135	1534.002569	2407.738297
136	1530.13926	2403.498675
137	1526.157171	2394.835995
138	1523.947983	2390.835684
139	1521.017703	2385.782999
140	1518.17206	2381.400719
141	1514.36671	2377.988899
142	1509.300417	2373.18158
143	1507.197046	2370.564622
144	1504.402277	2349.90897
145	1500.365119	2344.870756
146	1498.181749	2339.238346
147	1495.034798	2332.647298
148	1492.6242	2326.473507
149	1488.806659	2322.953585
150	1486.64469	2318.00722
151	1484.138358	2315.355449
152	1482.282058	2312.127593
153	1480.027271	2307.88906
154	1478.520654	2300.516887
155	1475.965931	2283.249299
156	1473.966237	2277.37614
157	1471.710297	2272.566736
158	1469.826591	2267.261219
159	1468.232702	2263.244764
160	1465.926663	2260.834523
161	1462.490761	2251.758078
162	1457.657816	2244.565756
163	1454.856626	2240.338695
164	1453.30327	2237.621653
165	1450.928365	2231.477676
166	1448.969302	2228.514181
167	1445.790879	2222.635221
168	1441.16693	2217.588143
169	1437.217041	2211.74613
170	1435.930053	2208.69337
171	1433.260173	2201.87772
172	1431.103946	2199.177874
173	1429.558195	2196.189089
174	1425.654636	2189.444513
175	1423.492971	2185.387385
176	1420.881307	2181.342798
177	1417.840267	2174.990813
178	1415.189376	2171.921118
179	1413.799075	2168.554702
180	1411.341064	2163.734205
181	1408.896798	2159.202153
182	1405.684921	2154.734899
183	1403.889352	2152.079978
184	1402.490913	2148.26894
185	1399.986776	2144.826723
186	1396.706227	2127.414638
187	1394.542093	2121.848283
188	1391.040191	2117.245488
189	1388.439937	2102.526974
190	1386.730665	2098.361397
191	1384.565041	2093.756543
192	1382.554269	2090.278719
193	1380.451352	2087.445101
194	1379.371918	2085.436043
195	1377.561623	2081.383611
196	1375.208584	2077.717381
197	1373.074191	2074.709071
198	1370.982032	2069.70836
199	1369.963117	2068.413873
200	1366.566103	2065.49206
201	1362.449829	2060.842088
202	1360.700804	2056.427975
203	1359.086968	2053.814992
204	1356.65653	2040.533269
205	1354.776463	2038.694467
206	1353.009598	2033.508261
207	1351.509046	2028.945589
208	1350.626484	2026.615487
209	1348.839121	2024.124595
210	1347.072863	2019.839673
211	1345.38098	2017.711279
212	1343.553358	2015.167952
213	1341.777448	2011.640151
214	1340.029012	2000.287978
215	1338.485748	1997.422803
216	1335.965376	1994.439739
217	1334.183436	1991.537796
218	1332.79311	1989.375317
219	1331.501525	1987.388798
220	1328.653728	1981.079162
221	1326.72856	1979.194959
222	1325.794319	1978.160819
223	1323.550703	1972.20031
224	1321.597011	1961.729063
225	1319.848607	1952.922827
226	1317.431176	1948.722706
227	1315.83432	1945.311562
228	1314.280368	1942.687568
229	1312.111085	1936.573292
230	1308.092788	1929.842402
231	1307.191885	1927.450271
232	1305.044335	1923.19533
233	1303.325001	1918.478672
234	1302.079621	1913.926493
235	1299.483124	1910.293259
236	1297.220484	1904.875677
237	1294.93409	1901.082938
238	1292.154498	1898.478755
239	1290.81131	1896.987906
240	1288.228624	1893.587283
241	1286.682499	1891.846267
242	1284.796336	1887.478733
243	1282.90884	1884.100887
244	1280.938528	1881.489833
245	1279.631594	1879.348314
246	1277.875582	1877.345549
247	1276.07735	1874.478575
248	1275.092119	1872.932116
249	1273.477854	1871.297904
250	1272.386136	1869.494969
251	1270.615344	1867.233576
252	1268.941563	1864.534933
