iter	Passed	Remaining
0	13	103905
1	19	72026
2	25	63116
3	31	60096
4	37	56338
5	45	57307
6	49	53311
7	54	51508
8	59	49833
9	65	49200
10	79	54234
11	95	59698
12	109	63554
13	120	64485
14	130	65525
15	139	65632
16	145	64222
17	150	62871
18	159	63170
19	167	62874
20	181	64977
21	197	67252
22	209	68425
23	217	68093
24	223	67212
25	229	66309
26	239	66622
27	244	65586
28	250	64719
29	255	63911
30	267	64655
31	279	65410
32	291	66189
33	303	67019
34	312	66875
35	317	66183
36	322	65395
37	329	64989
38	334	64340
39	339	63599
40	345	63029
41	359	64103
42	373	64968
43	378	64387
44	387	64382
45	392	63798
46	396	63208
47	406	63385
48	423	64683
49	429	64252
50	435	63843
51	443	63805
52	456	64411
53	462	63982
54	467	63583
55	472	63047
56	477	62606
57	483	62273
58	488	61804
59	496	61792
60	500	61269
61	509	61369
62	515	61075
63	526	61450
64	538	61884
65	548	62033
66	555	61925
67	561	61649
68	567	61337
69	572	61036
70	577	60711
71	583	60429
72	588	60165
73	594	59933
74	600	59726
75	604	59312
76	609	59019
77	615	58785
78	627	59200
79	642	59817
80	656	60362
81	668	60747
82	673	60402
83	679	60196
84	683	59847
85	693	60016
86	699	59885
87	704	59612
88	711	59462
89	717	59322
90	724	59204
91	729	58999
92	736	58886
93	745	58957
94	752	58926
95	762	59030
96	778	59669
97	786	59632
98	792	59468
99	797	59274
100	810	59657
101	819	59676
102	829	59827
103	840	59992
104	846	59884
105	851	59657
106	857	59472
107	862	59254
108	867	59074
109	873	58957
110	879	58817
111	884	58580
112	896	58832
113	908	59102
114	922	59460
115	933	59653
116	938	59484
117	944	59311
118	949	59121
119	953	58880
120	958	58683
121	964	58576
122	970	58464
123	976	58339
124	993	58884
125	1007	59227
126	1020	59468
127	1024	59272
128	1030	59108
129	1035	58927
130	1041	58805
131	1048	58781
132	1056	58774
133	1064	58745
134	1074	58878
135	1095	59554
136	1105	59660
137	1111	59548
138	1118	59467
139	1125	59404
140	1133	59410
141	1139	59318
142	1149	59363
143	1154	59204
144	1159	59046
145	1167	59059
146	1183	59424
147	1196	59698
148	1206	59798
149	1213	59701
150	1218	59570
151	1224	59454
152	1229	59297
153	1234	59120
154	1239	59003
155	1252	59193
156	1261	59261
157	1272	59391
158	1283	59487
159	1292	59540
160	1298	59456
161	1304	59332
162	1311	59281
163	1318	59214
164	1324	59120
165	1330	59022
166	1336	58920
167	1349	59132
168	1365	59488
169	1375	59567
170	1385	59652
171	1396	59761
172	1405	59764
173	1415	59836
174	1424	59889
175	1435	60006
176	1444	60028
177	1455	60113
178	1465	60177
179	1474	60221
180	1484	60269
181	1492	60268
182	1500	60237
183	1505	60106
184	1510	59986
185	1516	59882
186	1521	59740
187	1536	60023
188	1546	60070
189	1557	60180
190	1567	60219
191	1576	60268
192	1586	60302
193	1593	60260
194	1599	60190
195	1606	60130
196	1612	60029
197	1626	60232
198	1641	60490
199	1658	60781
200	1671	60960
201	1684	61132
202	1691	61073
203	1698	61016
204	1704	60900
205	1719	61158
206	1732	61293
207	1744	61426
208	1750	61329
209	1755	61192
210	1760	61059
211	1765	60935
212	1770	60843
213	1776	60725
214	1781	60608
215	1786	60508
216	1791	60394
217	1797	60283
218	1802	60182
219	1807	60076
220	1812	59966
221	1819	59903
222	1826	59849
223	1847	60265
224	1857	60313
225	1862	60204
226	1870	60191
227	1876	60104
228	1889	60239
229	1901	60360
230	1915	60541
231	1928	60667
232	1943	60876
233	1949	60792
234	1956	60731
235	1962	60650
236	1970	60652
237	1983	60776
238	2002	61082
239	2007	60987
240	2014	60944
241	2021	60877
242	2027	60804
243	2033	60732
244	2039	60660
245	2045	60578
246	2051	60491
247	2060	60521
248	2073	60629
249	2085	60727
250	2097	60842
251	2105	60812
252	2111	60741
253	2116	60629
254	2121	60537
255	2128	60487
256	2133	60386
257	2140	60328
258	2145	60238
259	2151	60162
260	2156	60072
261	2164	60055
262	2182	60316
263	2199	60530
264	2204	60455
265	2210	60367
266	2215	60287
267	2221	60195
268	2228	60150
269	2233	60074
270	2239	59999
271	2244	59911
272	2251	59856
273	2259	59848
274	2268	59856
275	2273	59763
276	2283	59788
277	2297	59936
278	2302	59838
279	2308	59781
280	2313	59696
281	2319	59627
282	2325	59563
283	2332	59521
284	2349	59727
285	2359	59761
286	2368	59793
287	2378	59805
288	2387	59831
289	2396	59843
290	2406	59864
291	2411	59787
292	2417	59714
293	2423	59661
294	2428	59561
295	2434	59496
296	2439	59429
297	2445	59344
298	2450	59258
299	2455	59178
300	2461	59126
301	2468	59083
302	2474	59022
303	2479	58948
304	2485	58883
305	2491	58816
306	2499	58804
307	2504	58728
308	2510	58672
309	2516	58625
310	2523	58578
311	2528	58496
312	2533	58435
313	2540	58384
314	2545	58315
315	2552	58270
316	2558	58214
317	2576	58432
318	2589	58535
319	2597	58522
320	2610	58638
321	2624	58747
322	2639	58906
323	2649	58924
324	2655	58871
325	2663	58860
326	2669	58814
327	2674	58737
328	2680	58681
329	2686	58622
330	2691	58541
331	2696	58478
332	2710	58578
333	2724	58707
334	2734	58735
335	2741	58714
336	2747	58655
337	2753	58594
338	2766	58693
339	2780	58816
340	2796	58962
341	2812	59130
342	2818	59065
343	2824	59012
344	2830	58953
345	2835	58882
346	2840	58805
347	2846	58760
348	2852	58698
349	2857	58634
350	2863	58582
351	2877	58684
352	2888	58740
353	2895	58694
