iter	Passed	Remaining
0	9	72574
1	19	73060
2	23	57882
3	30	56778
4	36	54822
5	42	53262
6	48	51839
7	54	50848
8	67	56458
9	74	56040
10	81	55657
11	88	55348
12	94	54421
13	100	54157
14	113	56632
15	125	59148
16	137	60847
17	151	63048
18	165	65318
19	171	64301
20	177	63451
21	183	62793
22	190	62042
23	196	61488
24	202	60756
25	204	59137
26	210	58511
27	220	59138
28	228	59126
29	243	60999
30	257	62284
31	267	62660
32	272	61847
33	284	62731
34	293	62841
35	299	62257
36	304	61651
37	309	61069
38	328	63040
39	335	62799
40	340	62131
41	344	61493
42	352	61362
43	357	60799
44	361	60206
45	366	59662
46	371	59133
47	376	58636
48	384	58701
49	389	58297
50	394	57894
51	408	58685
52	425	59994
53	438	60778
54	444	60410
55	449	59987
56	453	59519
57	459	59193
58	466	59097
59	473	59008
60	479	58692
61	491	59197
62	506	60018
63	513	59942
64	519	59632
65	524	59276
66	533	59473
67	540	59320
68	551	59614
69	558	59487
70	564	59275
71	569	58986
72	578	59141
73	591	59567
74	600	59709
75	605	59366
76	611	59205
77	618	59070
78	623	58846
79	629	58601
80	633	58291
81	639	58055
82	644	57870
83	650	57640
84	657	57581
85	663	57405
86	678	58059
87	687	58106
88	692	57905
89	705	58353
90	714	58396
91	720	58242
92	725	58040
93	730	57799
94	744	58312
95	763	59123
96	771	59144
97	780	59163
98	791	59435
99	797	59235
100	803	59120
101	809	58940
102	815	58816
103	820	58609
104	836	59130
105	849	59522
106	866	60121
107	872	59995
108	877	59782
109	884	59643
110	890	59515
111	895	59342
112	902	59236
113	907	59030
114	913	58923
115	928	59338
116	945	59903
117	959	60247
118	970	60457
119	975	60268
120	981	60125
121	986	59922
122	999	60223
123	1005	60075
124	1011	59945
125	1017	59770
126	1022	59617
127	1035	59899
128	1048	60183
129	1062	60463
130	1068	60348
131	1074	60204
132	1080	60092
133	1091	60260
134	1098	60196
135	1104	60080
136	1110	59957
137	1119	59987
138	1125	59876
139	1132	59776
140	1138	59674
141	1154	60082
142	1164	60172
143	1170	60059
144	1176	59944
145	1182	59828
146	1188	59708
147	1193	59557
148	1199	59431
149	1204	59272
150	1218	59560
151	1232	59833
152	1243	59950
153	1252	60020
154	1259	59933
155	1264	59802
156	1270	59677
157	1276	59552
158	1287	59673
159	1293	59606
160	1309	59959
161	1319	60024
162	1329	60087
163	1339	60150
164	1348	60211
165	1354	60108
166	1367	60288
167	1372	60166
168	1381	60185
169	1398	60539
170	1408	60619
171	1419	60749
172	1425	60640
173	1430	60497
174	1436	60394
175	1441	60251
176	1449	60235
177	1455	60107
178	1460	59993
179	1466	59877
180	1471	59745
181	1484	59932
182	1497	60118
183	1511	60370
184	1523	60481
185	1536	60678
186	1548	60807
187	1554	60706
188	1560	60608
189	1566	60528
190	1586	60973
191	1594	60950
192	1600	60836
193	1605	60726
194	1613	60716
195	1619	60614
196	1625	60510
197	1631	60412
198	1636	60299
199	1642	60220
200	1648	60128
201	1654	60017
